route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
6612,1,14449469,2 Macdonald/To Dunbar Loop,,1,2131714,300648,0,1
6612,2,14449470,2 Macdonald/To Burrard Station,,0,2131728,300646,0,1
6612,2,14449471,2 Macdonald/To Burrard Station,,0,2131726,300646,0,1
6612,2,14449472,2 Macdonald/To Burrard Station,,0,2131733,300646,0,1
6612,2,14449473,2 Macdonald/To Burrard Station,,0,2131727,300646,0,1
6612,2,14449474,2 Macdonald/To Burrard Station,,0,2131728,300646,0,1
6612,2,14449475,2 Macdonald/To Burrard Station,,0,2131726,300646,0,1
6612,2,14449476,2 Macdonald/To Burrard Station,,0,2131733,300646,0,1
6612,2,14449477,2 Macdonald/To Burrard Station,,0,2131727,300646,0,1
6612,2,14449478,2 Macdonald/To Burrard Station,,0,2131732,300646,0,1
6612,2,14449479,2 Macdonald/To Burrard Station,,0,2131728,300646,0,1
6612,2,14449480,2 Macdonald/To Burrard Station,,0,2131731,300646,0,1
6612,2,14449481,2 Macdonald/To Burrard Station,,0,2131726,300646,0,1
6612,2,14449482,2 Macdonald/To Burrard Station,,0,2131733,300646,0,1
6612,2,14449483,2 Macdonald/To Burrard Station,,0,2131732,300645,0,1
6612,2,14449484,2 Macdonald/To Burrard Station,,0,2131727,300646,0,1
6612,2,14449485,2 Macdonald/To Burrard Station,,0,2131731,300645,0,1
6612,2,14449486,2 Macdonald/To Burrard Station,,0,2131730,300646,0,1
6612,2,14449487,2 Macdonald/To Burrard Station,,0,2131728,300646,0,1
6612,2,14449488,2 Macdonald/To Burrard Station,,0,2131733,300645,0,1
6612,2,14449489,2 Macdonald/To Burrard Station,,0,2131726,300646,0,1
6612,2,14449490,2 Macdonald/To Burrard Station,,0,2131727,300645,0,1
6612,2,14449491,2 Macdonald/To Burrard Station,,0,2131732,300646,0,1
6612,2,14449492,2 Macdonald/To Burrard Station,,0,2131730,300645,0,1
6612,2,14449493,2 Macdonald/To Burrard Station,,0,2131731,300646,0,1
6612,2,14449494,2 Macdonald/To Burrard Station,,0,2131733,300645,0,1
